Date,Tweet ID,Text,Username
2021-01-01 20:00:19+00:00,1345097542527299584,"@Chevron Resolutions to keep us as safe and happy as is now possible: 
1. Close down your oil and gas operations. Fast. 
2. Invest hugely in renewables. 
3. Reparations paid to Black and Indigenous communities who have suffered disproportionately from the pollution you have created.",orridge_anna
2021-01-01 18:12:47+00:00,1345070480894656512,"@mr_squeege The 4 big oil corperations; Exxon Mobil, Chevron Texaco, BP Amoco and Royal Dutch/Shell",ukpatriot1111
2021-01-01 17:59:22+00:00,1345067103754321921,"Trump’s administration gave permission to @chevron for oil drilling in the Arctic National Wildlife Refuge, affecting the lives of Indigenous people &amp; biodiversity. 🍃 Join us to stand up and #ProtectTheArctic 
 
📣 Please save, send, share to inform the others what is happening https://t.co/ojSW4JYIXY",fff_digital
2021-01-01 15:13:47+00:00,1345025434828812288,"@ayosogunro I disagree , With his connection, he could hv gotten an oil bloc and partner Mobil /Chevron to operate it and still cash out heavily. What he does is commendable, most Nigerians biz men that have access to govt, look for easy way out. He helped the manufacturing industry in 9ja",rocbim
2021-01-01 14:21:19+00:00,1345012228613836801,"Hello to all and Happy 2021!🥳🎊  This is now my 10th week of participating #FridaysForFuture &amp; for this week's theme: #ProtectTheArctic.
My say is ""Drill for conclusions &amp; Spill an alternative.""
Huge oil companies such as @Chevron @LibertyMutual  @exxonmobil @ConocoPhilips and++ https://t.co/ndeMlZOexH",elleyaf_ni
2021-01-02 21:15:28+00:00,1345478841314099200,"In 2019 I visited the #Okavango, awed by a fragile landscape teeming with life. A few months before, I saw the cultural and ecological devastation left behind by #Chevron and other oil companies in the Ecuadorian #Amazon - do we really want this blood and oil on Canadian hands?",Ross_McMillan
2021-01-02 20:04:08+00:00,1345460889781227520,"won $19 billion judgement against Chevron owned Texaco for oil accidents, pollution in Ecuador in 2011",911news
2021-01-02 17:23:42+00:00,1345420516258099201,"20/ And at some point I have also gotten job test/interview invite from TOTAL Upstream, ExxonMobil and Chevron. In other words, 4 of the Big 5 IOCs in oil and gas industry have invited me for test/interview at some point. Then add NNPC and DPR to that. https://t.co/MeuOgFmRjX",SirJarus
2021-01-02 17:23:34+00:00,1345420482636603392,"13/ Well, some orientation by Ife MSSN affected my banker dream and by 200L I had dropped the 10 yr old ambition. The next dream was oil &amp; gas. Winning Chevron scholarship in 200L opened me to reading about oil and gas career. A lucrative one, I found out. A competitive one, too",SirJarus
2021-01-02 17:05:43+00:00,1345415991233310721,"475 lawyers, legal orgs &amp;  human rights defenders support lawyer Steven Donziger under house arrest: indigenous plaintiffs Ecuadorian Amazon $19B  won judgment against Chevron (Texaco), spilled over 17M gallons of crude oil, 16B gallons of toxic wastewater https://t.co/nNGQg2KxQQ",YogiSunlight
2021-01-03 21:40:01+00:00,1345847407565828096,"We think that #fossilfuels war is a greed issue, but really this is a economic panic https://t.co/0NMmR9mtNx isn’t the money that they won’t win, is the money that they will lose
Chevron’s Answer to #ClimateChange Is to Keep Drilling for #Oil https://t.co/FDcILszvfL",rpujolvives
2021-01-03 17:47:00+00:00,1345788768826101761,"Hearty congratulations and best wishes to #Cambodia for producing own oil 1st time in Preah Sihanouk (Sanskrit, Priya Simhanaka) province! Interestingly, the said oilfield was discovered by @Chevron in 2004. Then why after 16 years? Was the delay caused by the intruding #Dragon ?",pulindsamant
2021-01-03 17:34:08+00:00,1345785530999595010,"@SDonziger Just reading about you, as an env activist that has fought a big #fracking company I'm shocked but not surprised at the influence #Chevron has over U.S. courts. The U.S. has become an oil &amp; gas republic. All institutions media, courts, political, are compromised #FreeSteven",PramillaSMalick
2021-01-03 16:00:14+00:00,1345761900282392576,"Chevron just got a slap on the wrist for more than two dozen violations at one refinery.

""These refiners will keep polluting our air until regulators get serious about prioritizing our safety over oil company profits."" — Hollin Kretzman, @centerforbiodiv https://t.co/ofW8mqSVE2",CenterForBioDiv
2021-01-03 14:32:23+00:00,1345739792445820928,"Egypt signs 9 oil &amp; gas exploration deals worth $1bn

https://t.co/Gz39tWFcMr

#Egypt #OilandGas #Exploration #ExxonMobil #Chevron #BP #Total #Shell #Eni #Offshore #Petroleum #CrudeOil #Oil #Gas #Energy #News

Click Follow on our page to keep up to date with energy news",ogvenergy
