Date,Tweet ID,Text,Likes
2021-12-01 23:53:57+00:00,1466193886322192384,@Josh69523266 Probably not worth it to stake- better off spending the gas fees on more CVX and CRV.,2
2021-12-01 23:51:13+00:00,1466193195717562376,@CredibleCrypto if I got 62 cvx and 60 crv how much can I make staking,4
2021-12-01 23:50:47+00:00,1466193087210962950,"@SeanTho98192182 I picked $xom up at 52, might need to add. Position size too small. $cvx $psx my main oils $dvn # 3 A couple of mlps $ceqp $hesm $mplx",1
2021-12-01 23:39:25+00:00,1466190227735678977,"The carbon emissions reduction targets $XOM unveiled on Wednesday make one thing clear — the US’ largest producers remain reticent to embrace sweeping emissions goals.

My latest (free): https://t.co/2ORCMg8wAE

$CVX $COP $OOTT https://t.co/DbDvG2xu0P",2
2021-12-01 23:36:06+00:00,1466189391383117826,Chevron Announces $15 Billion Capital and Exploratory Budget for 2022 $CVX https://t.co/B0XxHItChW,0
2021-12-01 23:34:45+00:00,1466189053531865089,$CVX in Downtrend: Stochastic indicator leaves overbought zone. View odds for this and other indicators: https://t.co/RpDy9p1ZMH #Chevron #stockmarket #stock https://t.co/dNFPWpR66S,0
2021-12-01 23:24:09+00:00,1466186386990583816,$EPAZ Epazz's CryObo Technology to Issue Token (NFT) for a Real Estate Deal in Cyprus https://t.co/QKSuhROxF3 via @YahooFinance #NFTCommunity #buythedip #investors #StockMarket @NICH @Cristiano $BBIG $BAC $BMY $PG $CVX $USB $CSCO $AMBA $UA,1
2021-12-01 23:21:14+00:00,1466185651783708679,$NICH Nitches Completes Two Year PCAOB Audit and Announces Its New Technology and Tracking System To Help Combat Brand M... https://t.co/ZJbEndQKwO #NFTCommunity #buythedip #investors #StockMarket @NICH @Cristiano $BBIG $BAC $BMY $PG $CVX $USB $CSCO $AMBA $UA,1
2021-12-01 23:05:53+00:00,1466181788666155012,"$CVX @ 112.10 (-0.68%) : Chevron plans $15B capex budget for 2022, hikes stock buyback guidance https://t.co/RsIjY0G06m",0
2021-12-01 22:56:54+00:00,1466179529702092803,Chevron Lifts Share Buyback While Holding Down 2022 Spending $CVX https://t.co/EqWO9sPa9g,0
2021-12-02 23:53:33+00:00,1466556172178280448,$CVX Chevron (CVX) announces $15 bln capital and exploratory budget for 2022; also raises its share buyback guidance range to $3-5 bln per year vs prior guidance of $2-3 bln per year,1
2021-12-02 23:31:55+00:00,1466550729108336643,@0_rau_0 take care of yourself,0
2021-12-02 23:29:04+00:00,1466550011328671751,$CVX $HAL $SLB NEW ARTICLE : Oil heading higher? The Chartmaster reads the Texas tea leaves https://t.co/2NGNjMefFA Get all the latest $CVX related news here : https://t.co/JWbh4mxzrh https://t.co/zHjSCQv7AH,0
2021-12-02 23:17:23+00:00,1466547071771578369,"I would like $SPELL and $FXS pools launched soon, so FRAX &amp; Abra can start💰on Votium. Abra can 🔄🎡with a V2 pool cuz bribe recipients may want to farm more $CRV, $CVX with their SPELL bribes, instead of dumping.

Incentives on🍣aren't enough to attract serious LPs right now!👇 https://t.co/gHiP16tSS4",24
2021-12-02 23:14:03+00:00,1466546230658486279,Notable Analyst #Upgrades and #Downgrades for Week of November 22 2021 $ABBV $AZN $BBY $BNS $CVX $KIM $NA $PBA $RGLD $RY $VTR https://t.co/CCSOtBGffX https://t.co/4D2l3ltbDX,2
2021-12-02 23:07:14+00:00,1466544516362559498,$CVX the company that $XOM would like to be...,14
2021-12-02 22:55:39+00:00,1466541602013286400,"@knowerofmarkets Love the article. I am assuming you are not adverse to buying CRV instead of CVX, for their fate is inextricably linked.",0
2021-12-02 22:55:27+00:00,1466541553069953025,CVX Knife Only Speedruns! https://t.co/oXoXmh6Gq9,2
2021-12-02 22:30:22+00:00,1466535238608113667,After the $1/gallon surge we saved $.02/gallon in two weeks thank yooou! $LNG $CVX https://t.co/riF8fFTcgl,2
2021-12-02 22:30:09+00:00,1466535184178814985,"Stock: $CVX - Chevron Corporation
*** NEWS ***
Chevron Stock: Still Valuable With The Overall Recovery - Seeking Alpha
https://t.co/aLmGHj5SEQ
Try now the Best Pivot Point Calculator!! https://t.co/QAggKu4VvG
#tradingview
#stocks
#stockstowatch https://t.co/QEGMv6qWKU",0
2021-12-03 23:41:29+00:00,1466915524453941249,@jonray @JadeProtocol @Cryptotech_Ann I’d like to see $jade adding other securities like $ETH $BTC and $crv $cvx $gohm $time to treasury for longer term sustainability,2
2021-12-03 23:29:23+00:00,1466912479024353281,"We're focused on big CVX buys from KeeperDAO, but OlympusDAO is taking in $1m+ in CVX on most days via bond sales. 👀👇 
https://t.co/JfwWyeWfcC 

That's a sizable amount of $CVX removed from the market on a daily basis.... 

$OHM #DeFi https://t.co/RAiHxbISCl",30
2021-12-03 23:23:54+00:00,1466911097760456704,@defiXBT @dopex_io Can some gigabrain explain how vedpx will play curve war without the need to touch $crv/$cvx ?,6
2021-12-03 23:20:40+00:00,1466910286028410880,"12/3 EOD Scanner Updated #TheStrat 

Daily Signals
$BA
$DIS
$IYR
$PFE
$STNE
$UAL
$V
$WMT

Weekly Signals
$CVX
$ISPC
$JNJ
$LGVN
$MPC
$PTON

https://t.co/TXPDXT24nI https://t.co/QkJRL9paJ7",14
2021-12-03 22:54:31+00:00,1466903706121687042,"📢 Crypto Market Status 📢  

$MATIC is trading at $2.26, 7.33% ⬆️📈⬆️ 24h change 
$STETH is trading at $4184.17, -7.22% ⬇️📉⬇️ 24h change 
$CVX is trading at $22.1, -13.82% ⬇️📉⬇️ 24h change 

 #crypto #cryptocurrencies #hodl #blockchain #cryptotrading",1
